英国AB农业有限公司	英美烟草	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	阿尔森德渔业公司	阿尔森德渔业公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	法国阿利芳公司	英国AB农业有限公司
Attractive Wines	几内亚驻华大使馆&领事馆	I德国佩特涂料公司	I Oemeta Chemische Werke I GmbH	软银集团	上海国际油漆有限公司	德国瑞登梅尔父子公司	Samill Recycling	英孚英语	小牛津双语幼儿园	华宝兴业基金管理有限公司	金元比联基金管理有限公司	瓦克集团	上海国和现代服务产业股权投资管理有限公司	清晨（中国）资本集团	建信基金管理公司
澳大利亚富隆国际酒业有限公司	几内亚-比绍驻华大使馆&领事馆	I德国佩特涂料公司	巴西石油公司	斯嘉马资本集团	Inventec	Johnson Matthey Plc	韩国世光	EM LYON	巴黎高科工程师学校集团	富鑫创业投资集团	KTB投资集团	瓦克集团	上海名禹资产管理有限公司	OFS	鼎晖投资
AYECUE	圭亚那驻华大使馆&领事馆	I德国佩特涂料公司	Petrofer Chemicals	申万巴黎基金管理有限公司	Isotech Products Incorporated	庄臣泰华施	胜科环境管理	伊顿国际学校	QSI国际学校	Franklin Templeton Investments	领盛投资管理公司	瓦克集团	中瑞创业投资基金管理有限公司	美国泰山投资有限公司	鼎晖投资
百加得	匈牙利共和国驻华大使馆&领事馆	普莱克斯公司	I马来西亚国家石油公司	申万巴黎基金管理有限公司	德国瑞登梅尔父子公司	佐敦集团	苏伊士环境集团	伊顿国际学校	QSI国际学校	Franklin Templeton Investments	乐通投资集团	伟胜集团有限公司	软银集团	兰馨亚洲投资集团	时富投资集团有限公司
神露洋酒有限公司	冰岛共和国驻华大使馆&领事馆	普莱克斯公司	"?Roc Oil Co., Ltd? Roc Oil Co., Ltd?"	申万巴黎基金管理有限公司	Johnson Matthey Plc	盖克化工	瓦巴格公司	伊顿国际学校	QSI国际学校	国海富兰克林基金管理有限公司	乐通投资集团	美国华美化工	天泉投资	兰馨亚洲投资集团	ChapmanCraig Limited
巴朗德集团	印度驻华大使馆&领事馆	"□ Reilly Industries, Inc. Reilly Industries, Inc."	荷兰皇家壳牌集团	新加坡淡马锡控股（私人）有限公司	Johnson Matthey Plc	帝国油墨制造股份公司	瓦巴格公司	伊顿国际学校	QSI国际学校	富国基金管理有限公司	光速创投	德国意昂化学集团	申万菱信基金管理有限公司	兰馨亚洲投资集团	上投摩根基金管理有限公司
百麦公司	印度驻华大使馆&领事馆	罗地亚集团	荷兰皇家壳牌集团	德太投资集团	庄臣泰华施	凯米拉集团	威立雅环境集团	伊顿国际学校	QSI国际学校	纪源资本	中欧基金管理有限公司	赞邦集团	新加坡淡马锡控股(私人)有限公司	太平洋同盟基金管理集团	上投摩根基金管理有限公司
北京好伯肉食有限公司	伊朗驻华大使馆&领事馆	罗地亚集团	荷兰皇家壳牌集团	贝祥投资集团	佐敦集团	凯诺斯	威立雅水务	伊顿	莱佛士设计学院	金戈公司	诺德基金管理有限公司	珠海醋酸纤维有限公司	德太投资集团	怡和创业投资集团	中国创业投资有限公司
北京吉康食品有限公司	伊朗驻华大使馆&领事馆	罗地亚集团	I沙特阿美	凯雷投资集团有限公司	盖克化工	KPL International Ltd.	威立雅水务	伊顿	上海虹桥国际学校	金戈公司	马鸿（中国）投资管理有限公司	德国司马公司	凯雷投资集团有限公司	怡和创业投资集团	中国创业投资有限公司
北京美大星巴克咖啡有限公司	爱尔兰驻华大使馆&领事馆	罗地亚集团	沙特基础工业公司	凯雷投资集团有限公司	帝国油墨制造股份公司	宁柏迪集团	威立雅水务	上海欧文经济学院	加拿大毅伟管理学院	新加坡政府投资有限公司	株式会社MVC	德国司马公司	凯雷投资集团有限公司	亚洲创业集团	中信新际期货有限公司
法国贝勒集团	爱尔兰驻华大使馆&领事馆	洛克伍德精细化工集团	Statoil ASA	美国牛津投资集团有限公司	凯米拉集团	LANXESS	威立雅水务	Executive Learning Center	美国马里兰大学史密斯商学院	新加坡政府投资有限公司	株式会社MVC	丹麦供油有限公司	国泰财富集团	PineBridge Investments	信诚基金管理有限公司
美国比奥德企业集团	爱尔兰驻华大使馆&领事馆	罗门哈斯公司	I道达尔集团	国投瑞银基金管理有限公司	凯米拉集团	LANXESS	威斯特管理有限公司	壹迈语言文化交流中心	美国马里兰大学史密斯商学院	GS集团	摩根士丹利华鑫基金管理有限公司	贝克休斯公司	汉能投资集团	加拿大鲍尔公司	毅铭资本合伙
宝海酿造	以色列驻华大使馆&领事馆	DRoquette Frere Roquette Frere	I道达尔集团	国投瑞银基金管理有限公司	凯诺斯	LG化学	威斯特管理有限公司	法国学校	上海美国学校	国联安基金管理有限公司	摩根士丹利华鑫基金管理有限公司	贝克休斯公司	国投瑞银基金管理有限公司	加拿大鲍尔公司	立源资本投资控股有限公司
法国保健然集团	以色列驻华大使馆&领事馆	"□ SACHEM, Inc. SACHEM, Inc."	I道达尔集团	国投瑞银基金管理有限公司	KPL International Ltd.	LG化学	宜兴诺庞环保有限公司	GlobalEnglish Corp?	上海美国学校	国联安基金管理有限公司	OFS	扬子石化■巴斯夫有限公司	国投瑞银基金管理有限公司	意大利PEP	和利资本
爱尔兰食品委员局	意大利驻华大使馆&领事馆	德国莎哈利本化学有限公司	I道达尔集团	华盈基金	珂罗玛印刷油墨	LG化学	爱依斯	Grenoble Graduate School of Business	上海长宁国际学校	H&Q Asia Pacific	美国泰山投资有限公司	巴索瑞士润滑液有限公司	国投瑞银基金管理有限公司	启明维创投资咨询(上海)有限公司	柏坊资产管理有限公司
British Sugar (Overseas) Ltd.	意大利驻华大使馆&领事馆	ISAES Getters S.p.A. SAES Getters S.p.A.	I道达尔集团	祥峰投资	宁柏迪集团	LG化学	阿尔斯通	广州南湖国际学校	上海长宁国际学校	工银瑞信基金管理有限公司	兰馨亚洲投资集团	Borealis	寰球新产业投资有限公司	美国秦汉资本管理有限公司	DCM
博璨	意大利驻华大使馆&领事馆	ISAES Getters S.p.A. SAES Getters S.p.A.	I道达尔集团	华登国际	LANXESS	LG化学	阿尔斯通	汉斯赛德尔基金会	上海长宁国际学校	智基创投	兰馨亚洲投资集团	Borealis	上海凯石投资管理有限公司	Richina Pacific Ltd.	德国投资与开发有限公司
吉百利	日本驻华大使馆&领事馆	美国沙多玛公司	I道达尔集团	华登国际	LANXESS	LG化学	阿尔斯通	哈罗公学	上海新加坡国际学校	智基创投	兰馨亚洲投资集团	波邦	祥峰投资	Richina Pacific Ltd.	德丰杰龙脉中国基金
嘉士伯	日本驻华大使馆&领事馆	美国沙多玛公司	I道达尔集团	美国华平创业投资集团	LG化学	LG化学	阿尔斯通	赫尔辛基经济学院高级管理教育	上海新加坡国际学校	景顺长城基金管理有限公司	怡和创业投资集团	BP	华登国际	洛希尔公司	德丰杰风险投资公司
卡思黛乐酒业	日本驻华大使馆&领事馆	南非沙索集团	UOP LLC - UOP LLC	Which Property?	LG化学	林德集团	阿尔斯通	香港科技大学	上海国际MBA	Investor AB	怡和创业投资集团	BP	华登国际	洛希尔公司	德同资本
Chateau Louis	日本驻华大使馆&领事馆	I积水化学工业株式会社	UOP LLC - UOP LLC	美国中经合集团	LG化学	林德集团	阿尔斯通	英姿国际管理顾问有限公司	中加合作枫华高级中学	璞玉投资管理公司	亚洲创业集团	BP	万家基金管理有限公司	I Saha-Union Public Company Limited Saha-Union Public Company Limited	马凯中国公司
华润雪花啤酒(中国)有限公司	日本驻华大使馆&领事馆	森馨香精色素科技有限公司	威德福	威敏顿投资有限公司	LG化学	林德集团	阿尔斯通	IAB国际学校	中法国际管理学院	JAFCO Ventures	PineBridge Investments	BP	美国华平创业投资集团	SAIF Partners	宜思投资管理集团
Choux	韩国驻华大使馆&领事馆	I上海联吉合纤有限公司	威德福	华欧国际证券有限责任公司	LG化学	林德集团	阿尔斯通	北京顺义国际学校	对外经济贸易大学中美国际管理学院	日本亚洲投资有限公司	加拿大鲍尔公司	BP	Which Property?	施密特楚霍厄&费兰特知识产权	Emmons
可口可乐	韩国驻华大使馆&领事馆	I信越化学公司	I广州美国人国际学校	华欧国际证券有限责任公司	林德集团	林德集团	阿尔斯通	天津开发区国际学校天津分校	苏州新加坡国际学校	"Jordan Industries, Inc"	加拿大鲍尔公司	BP	美国中经合集团	上海国和现代服务产业股权投资管理有限公司	瑞士君师企业
中粮可口可乐饮料有限公司	韩国驻华大使馆&领事馆	I信越化学公司	亚太管理学院	京华山一国际（香港）有限公司	林德集团	"LKT Laboratories, Inc."	阿尔斯通	一	北京瑞典小学	剑平国际集团	意大利PEP	BP	威敏顿投资有限公司	上海名禹资产管理有限公司	亚维世华控股有限公司
D?hler Group	韩国驻华大使馆&领事馆	I信越化学公司	I北京澳大利亚国际学校	京华山一国际（香港）有限公司	林德集团	Lonza Group Ltd.	阿海法	艾毅国际	太湖国际学校	"	聚宝龙国际投资有限公司"	美国秦汉资本管理有限公司	BP	中安保实业有限公司	中瑞创业投资基金管理有限公司	光大保德信基金管理有限公司
台湾大成集团	韩国驻华大使馆&领事馆	Oliver LU  SICPA Holding S.A. I SICPA Holding S.A.	BangdeVocationalTechnicalCollege-InternationalExchange邦德学院-国际交流学院	大和证券SMBC株式会社	林德集团	璐彩特国际集团	加拿大原子能公司	日本学校	天普大学	金元比联基金管理有限公司	Richina Pacific Ltd.	BP	京华山一国际(香港)有限公司	软银集团	富达国际有限公司
丹尼斯克	拉脱维亚驻华大使馆&领事馆	Siegwerk Druckfarben AG	9北京BISS国际学校	韩华证券	林德集团	德国鲁奇公司	博威亚洲	JEI	北京英国学校	KTB投资集团	Richina Pacific Ltd.	BP	京华山一国际(香港)有限公司	天泉投资	加柏利投资有限公司
达味佳	立陶宛驻华大使馆&领事馆	D Sigma-Aldrich Co. Sigma-Aldrich Co.	乐成集团乐成国际学校	韩国现代证券公司	林德集团	莱昂德尔化学	英国核燃料公司	凯恩英语培训中心	英国斯凯来得大学	领盛投资管理公司	洛希尔公司	BP	大和证券SMBC株式会社	申万菱信基金管理有限公司	信达澳银基金管理有限公司
大卫麦克公司	卢森堡大公国驻华大使馆&领事馆	式玛卡龙涂料	DBINorwegianSchoolofManagement挪威管理学院	元富证券（香港）有限公司	林德集团	巴西艾姆卡萨比工业和贸易有限公司	CCI AG- Control Components Inc.	凯恩英语培训中心	Thunderbird	乐通投资集团	洛希尔公司	BP	海豚国际集团有限公司	新加坡淡马锡控股(私人)有限公司	信达澳银基金管理有限公司
DBR CITIC Wine Estate	马来西亚驻华大使馆&领事馆	式玛卡龙涂料	博乐英教育集团	内藤证券株式会社	林德集团	法国曼氏香精香料有限公司	CCI AG- Control Components Inc.	凯恩英语培训中心	天津瑞金国际学校	乐通投资集团	I Saha-Union Public Company Limited Saha-Union Public Company Limited	BP	财富里昂证券有限责任公司	德太投资集团	华宝兴业基金管理有限公司
DCT 葡萄酒	马来西亚驻华大使馆&领事馆	式玛卡龙涂料	上海英国国际学校	野村控股集团	"LKT Laboratories, Inc."	美凯威奇	雪佛龙集团	韩国对外经济政策研究院	天津瑞金国际学校	光速创投	SAIF Partners	BP	财富里昂证券有限责任公司	凯雷投资集团有限公司	华宝兴业基金管理有限公司
DELlOS	马来西亚驻华大使馆&领事馆	新加坡朝日化学及锡焊制品有限公司	上海英国国际学校	野村控股集团	Lonza Group Ltd.	美国马斯达化学公司	雪佛龙集团	韩国国际学校	泰宁国际幼儿园	中欧基金管理有限公司	施密特楚霍厄&费兰特知识产权	BP	国浩资本有限公司	凯雷投资集团有限公司	华宝兴业基金管理有限公司
Delpeyrat Group	马耳他驻华大使馆&领事馆	I(中美合资)山东力美彩喷墨I水有限公司	加拿大宝迪学院	三星证券	Lonza Group Ltd.	Mellerud Chemie GmbH	雪佛龙集团	LCL商务咨询有限公司	泰宁国际幼儿园	诺德基金管理有限公司	香港沪光国际投资管理有限公司	BP	国泰君安证券股份有限公司	国泰财富集团	富鑫创业投资集团
帝亚吉欧	墨西哥驻华大使馆&领事馆	I韩国SK株式会社	I长江商学院	大福证券集团	Lonza Group Ltd.	梅塞尔集团	科瑞曼士德	LCL商务咨询有限公司	美国南加州大学马歇尔商学院	马鸿（中国）投资管理有限公司	中瑞创业投资基金管理有限公司	BP	韩华证券	汉能投资集团	方源资本
意大利多来利葡萄酒公司	缅甸联邦驻华大使馆&领事馆	I韩国SK株式会社	I长江商学院	大福证券集团	璐彩特国际集团	美国禾化学有限公司	科瑞曼士德	Leadership Development International - LDI	裕达隆国际学校	株式会社MVC	软银集团	BP	东方高圣投资顾问公司	国投瑞银基金管理有限公司	Franklin Templeton Investments
Dr. Oetker	缅甸联邦驻华大使馆&领事馆	爱森絮凝剂	I中欧国际工商学院	金鼎证券集团	德国鲁奇公司	美国麦可门公司	库伯能源	Leadership Development International - LDI	裕达隆国际学校	株式会社MVC	斯嘉马资本集团	BP	韩国现代证券公司	国投瑞银基金管理有限公司	Franklin Templeton Investments
多美滋	荷兰驻华大使馆&领事馆	爱森絮凝剂	I中欧国际工商学院	瑞银证券有限责任公司	莱昂德尔化学	三菱化学株式会社	库伯能源	中山大学岭南(大学)学院	裕达隆国际学校	摩根士丹利华鑫基金管理有限公司	新加坡淡马锡控股(私人)有限公司	BP	元富证券(香港)有限公司	国投瑞银基金管理有限公司	国海富兰克林基金管理有限公司
丞燕国际机构	荷兰驻华大使馆&领事馆	爱森絮凝剂	I中欧国际工商学院	瑞银证券有限责任公司	巴西艾姆卡萨比工业和贸易有限公司	三菱化学株式会社	库伯能源	中山大学岭南(大学)学院	复旦大学一华盛顿大学EMBA	摩根士丹利华鑫基金管理有限公司	德太投资集团	BP	内藤证券株式会社	寰球新产业投资有限公司	富国基金管理有限公司
East Balt Inc.	荷兰驻华大使馆&领事馆	爱森絮凝剂	I同济大学中德学院	瑞银证券有限责任公司	法国曼氏香精香料有限公司	三菱化学株式会社	法国达尔凯国际股份有限公司	伦敦城市大学	韦伯斯特大学	摩根士丹利华鑫基金管理有限公司	贝祥投资集团	BP	东方证券股份有限公司	上海凯石投资管理有限公司	联和运通投资控股有限公司
East China Seas	新西兰驻华大使馆&领事馆	首诺公司	中加学校	友利投资证券有限公司	美国马斯达化学公司	三菱化学株式会社	法国达尔凯国际股份有限公司	美国马里兰中国中心	北京京西学校	OFS	凯雷投资集团有限公司	BP	东方证券股份有限公司	祥峰投资	纪源资本
艾森绿宝油脂有限公司	新西兰驻华大使馆&领事馆	苏威	中加学校	Acheson Colloids Co.	Mellerud Chemie GmbH	三菱化学株式会社	电源开发	墨尔本商学院	耀中教育机构	兰馨亚洲投资集团	凯雷投资集团有限公司	BP	三星证券	华登国际	戈壁合伙人有限公司
营洋株式会社	新西兰驻华大使馆&领事馆	苏威	ISchoolShanghaiI上海协和国际学校	Adeka Corp.	梅塞尔集团	三菱化学株式会社	法国电力公司	美都教育	耀中教育机构	兰馨亚洲投资集团	国投瑞银基金管理有限公司	康泰斯国际有限公司	瑞银证券有限责任公司	华登国际	金戈公司
Epennarket	挪威驻华大使馆&领事馆	苏威	ODelterInternationalBusinessInstitute加拿大戴尔特国际商学院	液化空气集团	梅塞尔集团	三菱化学株式会社	法国电力公司	悦田幼儿发展中心	耀中教育机构	兰馨亚洲投资集团	国投瑞银基金管理有限公司	康泰斯国际有限公司	瑞银证券有限责任公司	万家基金管理有限公司	新加坡政府投资有限公司
Evialis	挪威驻华大使馆&领事馆	美国普锐涂料集团	北京德国使馆学校	液化空气集团	美国禾化学有限公司	三菱化学株式会社	法国电力公司	南京国际学校	耀中教育机构	怡和创业投资集团	国投瑞银基金管理有限公司	中加阿尔伯达石油中心	瑞银证券有限责任公司	美国华平创业投资集团	新加坡政府投资有限公司
菲立斯酿酒集团	秘鲁驻华大使馆&领事馆	住友化学株式会社	德国学校	液化空气集团	美国麦可门公司	三菱化学株式会社	埃尼	英国龙比亚大学	雅思教育管理	怡和创业投资集团	祥峰投资	日本克斯莫石油株式会社	湘财证券有限责任公司	Which Property?	GS集团
Ferdinand Pieroth GmbH	秘鲁驻华大使馆&领事馆	SurTec International GmbH	I德威国际中国学校	液化空气集团	三菱化学株式会社	三菱化学株式会社	埃克塞德	英国国家计算教育中心	雅思教育管理	亚洲创业集团	华登国际	ExxonMobil Corp.	Adeka Corp?	美国中经合集团	国联安基金管理有限公司
费列罗	波兰驻华大使馆&领事馆	Symrise GmbH & Co. KG	I德威国际中国学校	液化空气集团	三菱化学株式会社	三菱化学株式会社	美国福尼公司	英国北方大学联合会	澳中教育文化中心	加拿大鲍尔公司	华登国际	ExxonMobil Corp.	雅博色彩(上海)有限公司	威敏顿投资有限公司	国联安基金管理有限公司
Filips Wine	波兰驻华大使馆&领事馆	南方化学集团	I德威国际中国学校	液化空气集团	三菱化学株式会社	迈图高新材料集团	法马通核能	纽卡斯尔教育联盟	AchieveGlobal	加拿大鲍尔公司	美国华平创业投资集团	ExxonMobil Corp.	液化空气集团	鼎晖投资	国联安基金管理有限公司
美国飞翔食品集团	葡萄牙驻华大使馆&领事馆	南方化学集团	I德威国际中国学校	液化空气集团	三菱化学株式会社	南通醋酸纤维有限公司	法国燃气公司	奥伊斯嘉日本语幼儿园	AchieveGlobal	意大利PEP	Which Property?	ExxonMobil Corp.	液化空气集团	鼎晖投资	H&Q Asia Pacific
合丰海屿郊私人有限公司	罗马尼亚驻华大使馆&领事馆	以色列特盖达化学有限公司	I上海法国学校	液化空气集团	三菱化学株式会社	国民淀粉化学公司	哈里伯顿	派特森英语	"ACT Education Solutions, Ltd?"	美国秦汉资本管理有限公司	美国中经合集团	FUCHS PetrolubAG	液化空气集团	鼎晖投资	华泰柏瑞基金管理有限公司
France Castel Freres SAS	罗马尼亚驻华大使馆&领事馆	I唐山可瑞库粘结剂有限公司	EM LYON	液化空气集团	三菱化学株式会社	国民淀粉化学公司	哈里伯顿	霍尔姆斯学院	法国国际教育协作署	Richina Pacific Ltd.	威敏顿投资有限公司	FUCHS PetrolubAG	液化空气集团	深圳市麦盛投资有限公司	华泰柏瑞基金管理有限公司
French Touch Kitchen	俄罗斯驻华大使馆&领事馆	德瑞皮化	ESMOD - International Fashion School	液化空气集团	三菱化学株式会社	NCH Corp.	哈里伯顿	I国际学校	法语联盟	Richina Pacific Ltd.	"	华欧国际证券有限责任公司"	FUCHS PetrolubAG	液化空气集团	软银赛富投资顾问有限公司	华泰柏瑞基金管理有限公司
荷兰皇家富仕兰康必奶公司	俄罗斯驻华大使馆&领事馆	德瑞皮化	伊顿国际学校	液化空气集团	三菱化学株式会社	宁波标兵涂料有限公司	荷兰荷丰公司	I国际学校	法语联盟	洛希尔公司	"	华欧国际证券有限责任公司"	FUCHS PetrolubAG	液化空气集团	软银赛富投资顾问有限公司	工银瑞信基金管理有限公司
不二家株式会社	卢旺达驻华大使馆&领事馆	I兰精集团	伊顿国际学校	液化空气集团	三菱化学株式会社	立时集团	荷兰荷丰公司	I国际学校	法语联盟	洛希尔公司	京华山一国际(香港)有限公司	福建联合石油化工有限公司	液化空气集团	软银赛富投资顾问有限公司	智基创投
嘉顿有限公司	新加坡驻华大使馆&领事馆	I兰精集团	伊顿国际学校	液化空气集团	三菱化学株式会社	日东电工	豪顿集团	I国际学校	法语联盟	■ Saha-Union Public Company Limited	京华山一国际(香港)有限公司	IBERSE	液化空气集团	软银赛富投资顾问有限公司	智基创投
Gate Gourmet	新加坡驻华大使馆&领事馆	I兰精集团	伊顿国际学校	液化空气集团	三菱化学株式会社	美国诺誉公司	豪顿集团	I国际学校	法语联盟	SAIF Partners	大和证券SMBC株式会社	出光兴产株式会社	液化空气集团	柏坊资产管理有限公司	景顺长城基金管理有限公司
嘉利达	新加坡驻华大使馆&领事馆	□ The Mosaic Company The Mosaic Company	伊顿国际学校	空气化工产品有限公司	南通醋酸纤维有限公司	OG株式会社	瑞士	东华大学-拉萨尔国际设计学院	法语联盟	施密特楚霍厄&费兰特知识产权	国浩资本有限公司	克鲁勃润滑剂	液化空气集团	柏坊资产管理有限公司	景顺长城基金管理有限公司
通用磨坊	斯洛伐克共和国驻华大使馆&领事馆	美国宣伟公司	I伊顿	空气化工产品有限公司	国民淀粉化学公司	澳瑞凯澳大利亚有限公司	英华威	上海虹桥国际学校	阿法企业管理培训中国有限公司	上海商景投资管理有限公司	韩华证券	克鲁勃润滑剂	液化空气集团	柏坊资产管理有限公司	Investor AB
杰弗瑞商贸有限公司	斯洛文尼亚共和国驻华大使馆&领事馆	美国宣伟公司	I伊顿	空气化工产品有限公司	国民淀粉化学公司	贝碧欧公司	英国可再生能源公司	加拿大毅伟管理学院	奥德克培训中心	香港沪光国际投资管理有限公司	韩国现代证券公司	克鲁勃润滑剂	液化空气集团	亚维世华控股有限公司	璞玉投资管理公司
Gewuerzwerk Hermann Laue (GmbH & Co.)	南非驻华大使馆&领事馆	美国威士伯公司	I上海欧文经济学院	味之素株式会社	国民淀粉化学公司	德国佩特涂料公司	日本能源	美国马里兰大学史密斯商学院	奥德克培训中心	中瑞创业投资基金管理有限公司	元富证券(香港)有限公司	韩国锦湖化学石油株式会社	液化空气集团	中安保实业有限公司	JAFCO Ventures
Glanbia plc	西班牙驻华大使馆&领事馆	美国威士伯公司	法国学校	阿克苏诺贝尔	国民淀粉化学公司	PPG Industries Corp.	金声能源服务有限公司	美国马里兰大学史密斯商学院	奥德克培训中心	软银集团	内藤证券株式会社	新日本石油株式会社	液化空气集团	京华山一国际(香港)有限公司	日本亚洲投资有限公司
怡园酒庄	西班牙驻华大使馆&领事馆	英国托马仕雯有限公司	复旦大学	阿克苏诺贝尔	NCH Corp.	PPG Industries Corp.	朗第伦索	SANAKO Corparation	波音翱腾公司	斯嘉马资本集团	三星证券	新日本石油株式会社	空气化工产品有限公司	京华山一国际(香港)有限公司	日本亚洲投资有限公司
意大利肉制品股份有限公司	西班牙驻华大使馆&领事馆	I有限公司	Grand Canadian Academy	阿克苏诺贝尔	NCH Corp.	PPG Industries Corp.	美亚电力有限公司	Sara Beattie Ltd.	波音翱腾公司	申万巴黎基金管理有限公司	大福证券集团有限公司	新日本石油株式会社	空气化工产品有限公司	大和证券SMBC株式会社	"Jordan Industries, Inc"
Grandissime	瑞典驻华大使馆&领事馆	I天银化工（私人）有限公司	0GuangzhouNanhuInternationalSchool广州南湖国际学校	阿克苏诺贝尔	宁波标兵涂料有限公司	普莱克斯公司	南通华阳液化气加工有限公司	加拿大约克大学舒力克商学院舒力克高级管理教育中心	美国管理协会	申万巴黎基金管理有限公司	大福证券集团有限公司	尼纳斯	空气化工产品有限公司	海豚国际集团有限公司	剑平国际集团
达能集团	瑞典驻华大使馆&领事馆	I拓扑思达	哈罗公学	阿克苏诺贝尔	立时集团	奎克化学有限公司	美国电气制造商协会	夏恩英语学院	安真商务咨询(上海)有限公司	申万巴黎基金管理有限公司	金鼎证券集团	"I	OAO Gazprom OAO Gazprom"	味之素株式会社	财富里昂证券有限责任公司	聚宝龙国际投资有限公司
墨西哥宾堡集团	瑞典驻华大使馆&领事馆	"Toray Industries, Inc."	HelsinkiSchoolofEconomicsExecutiveEducation赫尔辛基经济学院高级管理教育	阿克苏诺贝尔	美国诺誉公司	"Reilly Industries, Inc."	诺布尔能源公司	上海美国学校	亚洲运动及体适能专业学院	新加坡淡马锡控股(私人)有限公司	瑞银证券有限责任公司	俄罗斯卢克石油公司	阿克苏诺贝尔	财富里昂证券有限责任公司	凯鹏华盈创业投资基金
Gruppo Campari	瑞士驻华大使馆&领事馆	意大利涂思乐漆业	IAB国际学校	阿克苏诺贝尔	美国诺誉公司	罗地亚集团	西北大陆架澳大利亚液化天然气有限公司	上海美国学校	Aspect教育	德太投资集团	瑞银证券有限责任公司	委内瑞拉国家石油公司	阿克苏诺贝尔	国浩资本有限公司	凯鹏华盈创业投资基金
广州奥桑味精食品有限公司	瑞士驻华大使馆&领事馆	特诺集团	北京顺义国际学校	阿克苏诺贝尔	OG株式会社	罗地亚集团	百江燃气控股有限公司	上海长宁国际学校	北京韩国高丽培训学院	贝祥投资集团	瑞银证券有限责任公司	加拿大国家石油	阿克苏诺贝尔	国泰君安证券股份有限公司	投资集团
广州珠江啤酒集团有限公司	泰国驻华大使馆&领事馆	I优美科集团	天津开发区国际学校天津分校	阿克苏诺贝尔	澳瑞凯澳大利亚有限公司	罗地亚集团	太平洋顶峰(中国)投资有限公司	上海长宁国际学校	北京中智源培训有限责任公司	凯雷投资集团有限公司	Acheson Colloids Co.	巴西石油公司	阿克苏诺贝尔	韩华证券	日本国泰资本股份有限公司
哈瑞宝	泰国驻华大使馆&领事馆	Unimicro Technologies Inc.	International Schools I Services ? ISS I International Schools I Services - ISS	阿克苏诺贝尔	贝碧欧公司	罗地亚集团	斯伦贝谢	上海长宁国际学校	IPE卓越绩校中心	凯雷投资集团有限公司	Adeka Corp?	Petrofer Chemicals	阿克苏诺贝尔	东方高圣投资顾问公司	领盛投资管理公司
喜力	泰国驻华大使馆&领事馆	United Phosphorus Limited	日本学校	阿克苏诺贝尔	贝碧欧公司	洛克伍德精细化工集团	斯伦贝谢	上海长宁国际学校	贝立兹	国投瑞银基金管理有限公司	液化空气集团	马来西亚国家石油公司	阿克苏诺贝尔	韩国现代证券公司	乐通投资集团
亨氏	泰国驻华大使馆&领事馆	美国凯米尼尔公司	I韩国国际学校	阿克苏诺贝尔	德国佩特涂料公司	Roquette Frere	斯伦贝谢	上海交大-马赛商学院MBA	贝立兹	国投瑞银基金管理有限公司	液化空气集团	青岛丽东化工有限公司	阿克苏诺贝尔	元富证券(香港)有限公司	乐通投资集团
轩尼诗	菲律宾驻华大使馆&领事馆	意大利威可集团	Leadership Development International - LDI	阿克苏诺贝尔	PPG Industries Corp.	"SACHEM, Inc."	赛德中国控股有限公司	上海新加坡国际学校	贝立兹	国投瑞银基金管理有限公司	液化空气集团	印度信诚工业有限公司	阿克苏诺贝尔	内藤证券株式会社	光速创投
黑松	菲律宾驻华大使馆&领事馆	威马集团	Leadership Development International - LDI	阿克苏诺贝尔	PPG Industries Corp.	德国莎哈利本化学有限公司	法国索菲燃气工程公司	上海新加坡国际学校	BPP Professional Education	华盈基金	液化空气集团	"Roc Oil Co.,Ltd?"	阿克苏诺贝尔	东方证券股份有限公司	中欧基金管理有限公司
荷兰高速乳品集团	菲律宾驻华大使馆&领事馆	威马集团	Leadership Development International - LDI	阿克苏诺贝尔	PPG Industries Corp.	SAES Getters S.p.A.	太阳石油公司	上海国际MBA	BPP Professional Education	祥峰投资	液化空气集团	荷兰皇家壳牌集团	阿克苏诺贝尔	东方证券股份有限公司	诺德基金管理有限公司
荷美尔食品公司	菲律宾驻华大使馆&领事馆	德国维恩化工股份公司	"nLingnan(University)College,SunYat-senUniversity中山大学岭南（大学）学院"	阿克苏诺贝尔	PPG Industries Corp.	美国沙多玛公司	巴布科克威尔科克斯	中加合作大连枫叶国际学校	I Campus Group Holdings Pty Ltd. Campus Group Holdings Pty Ltd.	华登国际	液化空气集团	荷兰皇家壳牌集团	阿克苏诺贝尔	三星证券	马鸿（中国）投资管理有限公司
Illy咖啡	菲律宾驻华大使馆&领事馆	□ W. R. Grace & Co. W. R. Grace & Co.	□LivingstonAmericanSchool李文斯顿美国学校	阿克苏诺贝尔	普莱克斯公司	美国沙多玛公司	东京电力株式会社	中加合作大连枫叶国际学校	Celemiab Systems AB	华登国际	液化空气集团	荷兰皇家壳牌集团	阿克苏诺贝尔	瑞银证券有限责任公司	曼达林基金
Ina Heimax Trading GmbH	菲律宾驻华大使馆&领事馆	瓦克集团	I伦敦城市大学	阿克苏诺贝尔	奎克化学有限公司	美国沙多玛公司	维奥输配电	中加合作大连枫叶国际学校	中法能源培训中心	美国华平创业投资集团	液化空气集团	荷兰皇家壳牌集团	阿克苏诺贝尔	瑞银证券有限责任公司	曼达林基金
